"filename", "language", "JavaScript", "JSON", "HTML", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/Schedule/Components/Schedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 6, 65
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/Schedule/Components/SubjectSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 5, 67
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/Schedule/Styles.css", "CSS", 0, 0, 0, 0, 0, 173, 0, 32, 205
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 147, 0, 0, 7, 154
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/AddSubject.jsx", "JavaScript JSX", 0, 0, 0, 0, 237, 0, 0, 14, 251
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/AddSubjectSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 6, 52
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/DeleteInSubject.jsx", "JavaScript JSX", 0, 0, 0, 0, 116, 0, 0, 21, 137
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/Group.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/Groups.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 10, 98
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/HandleGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 7, 48
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/Subject.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 2, 14
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Components/Subjects.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 6, 55
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Components/SubjectManagement/Styles.css", "CSS", 0, 0, 0, 0, 0, 376, 0, 61, 437
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 113, 0, 1, 15, 129
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Dashboard/Styles/Styles.css", "CSS", 0, 0, 0, 0, 0, 184, 2, 7, 193
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Home/Components/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Home/Components/Main.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 2, 28
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Home/Css/Styles.css", "CSS", 0, 0, 0, 0, 0, 139, 2, 14, 155
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/Home/Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/PageError/Css/Error.css", "CSS", 0, 0, 0, 0, 0, 1565, 0, 45, 1610
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/App/PageError/Error.jsx", "JavaScript JSX", 0, 0, 0, 0, 143, 0, 0, 2, 145
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/Images/iconmonstr-line-one-horizontal-lined.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/Images/iconmonstr-plus-lined.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/camilo/Documentos/dev/Proyectos/classmaster/src/Images/iconmonstr-plus-thin.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/camilo/Documentos/dev/Proyectos/classmaster/vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/camilo/Documentos/dev/Proyectos/classmaster/vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 81, 8515, 13, 3, 3938, 3362, 71, 650, 16633
